DRDP Measure,** DRDP Developmental Level ,** Teaching Practice Category,Resource Agency,Activity Title,Activity Description,URL,"** FS Domain (should be Cognitive, Language, Physical or Social Emotional)","Age Range (months) should be the numbers only, e.g., 6-12)",Extra columns unique to that form (list out after) create a new column for each unique variable,FS ActivityCard #,FS Music,FS Infant Card SPANISH URL,"FS Intentions (should be Communication, Attention, Curiosity or Persitence)","FS Intentions (should be Communication, Attention, Curiosity or Persitence)","HSELOF goals (IT-ATL #, IT-SE #, IT-LC #, IT-C #, IT-PMP #)",ASQ page number
LLD 4: Reciprocal Communication and Conversation,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Smile,Smile often at babies and respond back enthusiastically,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75347,Cognitive ,0 - 3,,"C, 2",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75647,attention,curiosity,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Little Drummers,Provide empty boxes as drums and cardboard tubes as drumsticks and encourage them to bang their drums,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75366,Cognitive,6 - 12,,"C, 21",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75720,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Rattle Retrieval,Tie rattle to ribbon and tie other end to baby feeding table. They will like retrieving and tossing it,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75367,Cognitive,6 - 12,,"C, 22",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75721,Curiosity,Attention,,
COG 2: Classification,"Responding Earlier, Responding Later, Building Earlier",Planned Learning Activity,Frog Street Infant,Tactile Blocks,Make tactile Paper Bag Blocks and help a baby stack the blocks while feeling each texture and comparing them with descriptive words as you go,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75368,Cognitive,6 - 12,,"C, 23",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75738,Curiosity,Communication,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Tactile Blocks,Make tactile Paper Bag Blocks and help a baby stack the blocks while feeling each texture and comparing them with descriptive words as you go,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75368,Cognitive,6 - 12,,"C, 23",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75738,Curiosity,Communication,,
ATL-REG 2: Self-Comforting,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Mimicking Games,Mimic a baby's actions to validate what they are doing and encourage them to repeat them,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75369,Cognitive,6 - 12,,"C, 24",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75724,Curiosity,Attention,,
COG 2: Classification,"Responding Earlier, Responding Later, Building Earlier",Planned Learning Activity,Frog Street Infant,Mimicking Games,Mimic a baby's actions to validate what they are doing and encourage them to repeat them,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75369,Cognitive,6 - 12,,"C, 24",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75724,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Mimicking Games,Mimic a baby's actions to validate what they are doing and encourage them to repeat them,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75369,Cognitive,6 - 12,,"C, 24",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75724,Curiosity,Attention,,
LLD 3: Communication and Use of Language (Expressive),"Responding Earlier, Responding Later, Building Earlier",Planned Learning Activity,Frog Street Infant,Mimicking Games,Mimic a baby's actions to validate what they are doing and encourage them to repeat them,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75369,Cognitive,6 - 12,,"C, 24",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75724,Curiosity,Attention,,
COG 2: Classification,"Responding Earlier, Responding Later, Building Earlier",Planned Learning Activity,Frog Street Infant,Bottle Rollers,"Make several bottle rollers, roll the bottle, and shake it and discuss the bottle sound and the contents of bottle",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75370,Cognitive,6 - 12,,"C, 25",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75740,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Bottle Rollers,"Make several bottle rollers, roll the bottle, and shake it and discuss the bottle sound and the contents of bottle",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75370,Cognitive,6 - 12,,"C, 25",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75740,Curiosity,Attention,,
ATL-REG 2: Self-Comforting,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Where is Lily?,Let a child watch you hide a puppet under one of two identical bags/boxes and then ask them where Lily is to develop object permanence,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75371,Cognitive,6 - 12,,"C, 26",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75723,Curiosity,Attention,,
COG 2: Classification,"Responding Earlier, Responding Later, Building Earlier",Planned Learning Activity,Frog Street Infant,Where is Lily?,Let a child watch you hide a puppet under one of two identical bags/boxes and then ask them where Lily is to develop object permanence,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75371,Cognitive ,6 - 12,,"C, 26",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75723,Curiosity,Attention,,
LLD 3: Communication and Use of Language (Expressive),"Responding Earlier, Responding Later, Building Earlier",Planned Learning Activity,Frog Street Infant,Where Is Lily?,Let a child watch you hide a puppet under one of two identical bags/boxes and then ask them where Lily is to develop object permanence,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75371,Cognitive,6 - 12,,"C, 26",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75723,Curiosity,Attention,,
COG 2: Classification,"Responding Earlier, Responding Later, Building Earlier",Planned Learning Activity,Frog Street Infant,Shake it Out,"Cut a hole in a box and show a baby how you drop a toy/ball through the hole and shake the box to get the toy out, repeating with different objects/sizes to enhance problem-solving",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75372,Cognitive,6 - 12,,"C, 27",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75722,Curiosity,Attention,,
COG 8: Cause and Effect,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Shake it Out,"Cut a hole in a box and show a baby how you drop a toy/ball through the hole and shake the box to get the toy out, repeating with different objects/sizes to enhance problem-solving",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75372,Cognitive ,6 - 12,,"C, 27",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75722,cusiosity,attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Shake it out,"Cut a hole in a box and show a baby how you drop a toy/ball through the hole and shake the box to get the toy out, repeating with different objects/sizes to enhance problem-solving",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75372,Cognitive,6 - 12,,"C, 27",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75722,Curiosity,Attention,,
COG 8: Cause and Effect,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Bubbles Up,"Blow bubbles and show how to blow on them to keep them up, and then have them keep it up with gentle blowing, then blow bubbles on another day to see if they remember",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75373,Cognitive ,6 - 12,,"C, 28",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75725,curiosisty,persistence,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Bubbles Up,"Blow bubbles and show how to blow on them to keep them up, and then have them keep it up with gentle blowing, then blow bubbles on another day to see if they remember",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75373,Cognitive,6 - 12,,"C, 28",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75725,Curiosity,Persistance,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Ring,"Invite children that makes sounds or light up, allow children to explore the toy and if they can't figure out how to work the buttons help them",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75374,Cognitive,6 - 12,,"C, 29",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75727,Curiosity,Attention,,
LLD 5: Interest in Literacy,"Responding Earlier, Responding Later, Building Earlier",Planned Learning Activity,Frog Street Infant,Ring,"Invite children that makes sounds or light up, allow children to explore the toy and if they can't figure out how to work the buttons help them",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75374,Cognitive,6 - 12,,"C, 29",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75727,Curiosity,Attention,,
ATL-REG 2: Self-Comforting,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,What's that Noise?,"Choose two rattles that sound different one you shake them, shaking one rattle and after a minute minute shaking the other one, talking about the sounds as you shake the rattle to encourage curiosity",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75348,Cognitive,0 - 3,,"C, 3",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75642,Attention,Curiosity,,
LLD 3: Communication and Use of Language (Expressive),"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,What's that Noise?,"Choose two rattles that sound different one you shake them, shaking one rattle and after a minute minute shaking the other one, talking about the sounds as you shake the rattle to encourage curiosity",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75348,Cognitive,0 - 3,,"C, 3",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75642,Attention,Curiosity,,
LLD 5: Interest in Literacy,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,What's that Noise,"Choose two rattles that sound different one you shake them, shaking one rattle and after a minute minute shaking the other one, talking about the sounds as you shake the rattle to encourage curiosity",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75348,Cognitive,0 - 3,,"C, 3",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75642,Attention,Curiosity,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Putty in my Hands,"Give play dough to little ones, and show them how to pat, roll it, and stretch it",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75375,Cognitive,6 - 12,,"C, 30",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75728,Curiosity,Attention,,
COG 8: Cause and Effect,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Tunnel Fun,"Place blanket or sheet over table to create crawl tunnel, place special toy at the end of tunnel and have them crawl through to get it, add obstacles later",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75376,Cognitive ,6 - 12,,"C, 31",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75729,curiosisty,persistence,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Tunnel Fun,"Place blanket or sheet over table to create crawl tunnel, place special toy at the end of tunnel and have them crawl through to get it, add obstacles later",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75376,Cognitive,6 - 12,,"C, 31",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75729,Curiosity,Persistence,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Tactile Path,"Place textured items, and sticky side up tape on floor to create pathway, have them crawl and walk through it, encourage them to touch the items along the way",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75377,Cognitive,6 - 12,,"C, 32",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75726,Communication,Curiosity,,
PD-HLTH 8: Personal Care Routines: Dressing,"Responding Earlier, Responding Later, Building Earlier",Planned Learning Activity,Frog Street Infant,Tactile Path,"Place textured items, and sticky side up tape on floor to create pathway, have them crawl and walk through it, encourage them to touch the items along the way",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75377,Cognitive,6 - 12,,"C, 32",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75726,Communication,Curiosity,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,One Two Three,"Use the counting sequence ""one, two, three"" regularly in your daily life, ""One, two, three"" rhyme",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75379,Cognitive,6 - 12,,"C, 34",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75731,Curiosity,Attention,,
COG 1: Spatial Relationships,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,One Two Three,"Use the counting sequence ""one, two, three"" regularly in your daily life, ""One, two, three"" rhyme",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75379,Cognitive,6 - 12,,"C, 34",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75731,Curiosity,Attention,,
COG 3: Number Sense of Quantity,"Responding Earlier, Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,One Two Three,"Use the counting sequence ""one, two, three"" regularly in your daily life, ""One, two, three"" rhyme",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75379,Cognitive,6 - 12,,"C, 34",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75731,Curiosity,Attention,,
COG 8: Cause and Effect,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Problem Solving,Use problem solving in daily life.  Simple activities,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75363,Cognitive ,3 - 6,,"C, 18",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75688,curiosity,attention,,
COG 1: Spatial Relationships,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Little Monkeys,"Learn the language of math through finger play, act out rhyme by counting the three fingers you hold up during ""three little monkeys jumping on the bed"", discuss the meaning of the world little by comparing an object that is available in two sizes",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75380,Cognitive,6 - 12,,"C, 35",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75733,Curiosity,Communication,,
COG 3: Number Sense of Quantity,"Responding Earlier, Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Little Monkeys,"Learn the language of math through finger play, act out rhyme by counting the three fingers you hold up during ""three little monkeys jumping on the bed"", discuss the meaning of the world little by comparing an object that is available in two sizes",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75380,Cognitive,6 - 12,,"C, 35",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75733,Curiosity,Communication,,
ATL-REG 2: Self-Comforting,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Peek-a-Boo Plate,"Draw eyes, nose, and smile, on plate and attach it to a tongue depressor, and play peek-a-boo and invite the little one to touch the face while asking him to find the eyes, nose, and mouth",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75381,Cognitive,6 - 12,,"C, 36",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75739,Curiosity,Attention,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Peek-a-Boo Plate,"Draw eyes, nose, and smile, on plate and attach it to a tongue depressor, and play peek-a-boo and invite the little one to touch the face while asking him to find the eyes, nose, and mouth",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75381,Cognitive,6 - 12,,"C, 36",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75739,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Peek-a-Boo Plate,"Draw eyes, nose, and smile, on plate and attach it to a tongue depressor, and play peek-a-boo and invite the little one to touch the face while asking him to find the eyes, nose, and mouth",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75381,Cognitive,6 - 12,,"C, 36",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75739,Curiosity,Attention,,
LLD 3: Communication and Use of Language (Expressive),"Responding Earlier, Responding Later, Building Earlier",Planned Learning Activity,Frog Street Infant,Peek-a-Boo Plate,"Draw eyes, nose, and smile, on plate and attach it to a tongue depressor, and play peek-a-boo and invite the little one to touch the face while asking him to find the eyes, nose, and mouth",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75381,Cognitive,6 - 12,,"C, 36",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75739,Curiosity,Attention,,
COG 1: Spatial Relationships,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Eye on the Ball,"While two children are rolling a ball back and forth, encourage them to count before releasing the ball, ask them to watch the ball as it rolls to practice following objects with eyes, and play with balls of different sizes to practice organizing smaller to larger objects",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75382,Cognitive,6 - 12,,"C, 37",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75732,Curiosity,Communication,,
COG 2: Classification,"Responding Earlier, Responding Later, Building Earlier",Planned Learning Activity,Frog Street Infant,Eye on the Ball,"While two children are rolling a ball back and forth, encourage them to count before releasing the ball, ask them to watch the ball as it rolls to practice following objects with eyes, and play with balls of different sizes to practice organizing smaller to larger objects",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75382,Cognitive ,6 - 12,,"C, 37",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75732,Curiosity,Communication,,
COG 3: Number Sense of Quantity,"Responding Earlier, Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Eye on the Ball,"While two children are rolling a ball back and forth, encourage them to count before releasing the ball, ask them to watch the ball as it rolls to practice following objects with eyes, and play with balls of different sizes to practice organizing smaller to larger objects",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75382,Cognitive,6 - 12,,"C, 37",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75732,Curiosity,Communication,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Ball Track Designs,"Place a sheet of paper inside a 2-inch deep box or cake pan, dip golf ball in tempura paint and place in pan, show baby how to move it around",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75383,Cognitive,6 - 12,,"C, 38",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75736,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Textured Finger Paint,"Place textured finger paint directly on tabletop, and invite little ones to piant on tabletop, talk about paint as they work, and call attention to the design change",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75384,Cognitive,6 - 12,,"C, 39 ",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75735,Curiosity,,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Follow This!,Move Peeper Puppet in front of baby while singing and playing Jeepers Peepers,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75349,Cognitive,0 - 3,,"C, 4",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75643,Attention,Curiosity,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Take a Closer Look,"Show baby how to use magnifying glass to look at interesting objects, encourage them to look at them in different views",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75385,Cognitive,6 - 12,,"C, 40",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75734,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Drop it,"Gather cookie sheet and several items that can be safely dropped,, demonstrate dropping each item and discuss each sound made",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75387,Cognitive,12 - 18,,"C, 42",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75803,Curiosity,Attention,,
